pickup_date,day of week,avg fares,total fares,tip percentage,duration,frequency_of_rides,avg trip distance,tip amount avg,avg passengers,sum of passengers,avg fare per mile,Bronx_Pickups,Brooklyn_Pickups,EWR_Pickups,Manhattan_Pickups,Queens_Pickups,Staten Island_Pickups,Unknown_Pickups,Bronx_Dropoffs,Brooklyn_Dropoffs,EWR_Dropoffs,Manhattan_Dropoffs,Queens_Dropoffs,Staten Island_Dropoffs,Unknown_Dropoffs
2014-03-13,Thursday,11.907153083355734,6467274.94,12.737461877567865,12.536622436367162,543142,2.749755275784233,1.5166690846960833,1.664419249478037,904016,6.003941799333917,324.0,9796.0,3.0,504035.0,20063.0,6.0,8602.0,2552.0,25341.0,874.0,479427.0,25000.0,114.0,8603.0
2014-03-14,Friday,12.364581495070453,6591706.77,12.265851746921685,13.1455212975885,533112,2.892559312114528,1.5166212353126547,1.68401198997584,897767,5.917322859072275,297.0,11446.0,7.0,491172.0,21585.0,35.0,8346.0,2672.0,26966.0,904.0,465956.0,27135.0,126.0,8343.0
2014-03-15,Saturday,11.976058034593285,6486328.84,11.090936918949055,12.217705579188884,541608,2.857736905658705,1.3282570419934714,1.7667870489357616,956906,5.546883577039318,465.0,19729.0,4.0,495684.0,17163.0,15.0,8312.0,3470.0,35524.0,660.0,466876.0,25637.0,106.0,8354.0
2014-03-16,Sunday,12.420861779273162,5943506.57,11.343813993630361,11.728350748504036,478510,3.1539549643685607,1.408999456646674,1.7402185952226703,832712,5.324917057700403,547.0,19543.0,2.0,427305.0,22960.0,3.0,7928.0,3625.0,35613.0,836.0,399883.0,29398.0,124.0,8009.0
2014-03-17,Monday,12.509162454046804,5352432.94,12.07180841391354,12.619190966647269,427881,3.003175485707475,1.5100821256377357,1.6706327226495217,714832,5.924463082605646,277.0,7994.0,5.0,389464.0,22731.0,0.0,7202.0,2398.0,21471.0,585.0,372949.0,22076.0,110.0,7302.0
2014-03-18,Tuesday,12.114465206310287,5632681.17,12.482819793615265,12.651699877765948,464955,2.84278502220645,1.512226860663935,1.655035433536579,769517,5.887786331363729,207.0,8305.0,3.0,428384.0,20138.0,3.0,7712.0,2246.0,22809.0,526.0,409086.0,21347.0,105.0,7759.0
2014-03-19,Wednesday,12.16171194277348,5889321.17,12.632219376821658,13.194778052428735,484251,2.7799065360732347,1.536294132588265,1.6607255328331796,804208,6.0422651084094845,258.0,10031.0,3.0,448298.0,18161.0,5.0,7214.0,2307.0,24537.0,629.0,427133.0,21224.0,84.0,7270.0
2014-03-20,Thursday,12.639309718548002,6249329.74,12.695042236641527,13.384293214895356,494436,2.9736828831233972,1.604565707189606,1.6659082267472434,823685,5.931075874836425,212.0,9494.0,5.0,454423.0,22640.0,5.0,7470.0,2404.0,25333.0,801.0,432296.0,24774.0,107.0,7529.0
2014-03-21,Friday,12.569872699866885,6421193.77,12.176954441915246,13.38102076971263,510840,2.9398411048469186,1.5306276720695324,1.6899518440216115,863295,5.921258207493001,305.0,11695.0,5.0,469617.0,21250.0,4.0,7725.0,2565.0,27559.0,724.0,445733.0,25361.0,121.0,7749.0
2014-03-22,Saturday,12.032437514192718,6358421.28,11.045026415739475,12.239205649332627,528440,2.891763625009462,1.328985901899932,1.761331466202407,930758,5.525983575406895,444.0,19331.0,2.0,482229.0,18165.0,3.0,8038.0,3566.0,34809.0,572.0,456384.0,23932.0,104.0,8110.0
2014-03-23,Sunday,12.605749806617782,5980785.39,11.447215296250581,11.88698103835537,474449,3.216459113624436,1.443007320070229,1.7432663995497935,827091,5.285514744430873,388.0,17915.0,4.0,422590.0,25484.0,6.0,7777.0,3409.0,34010.0,827.0,399139.0,28064.0,99.0,7812.0
2014-03-24,Monday,12.17998507387746,5336757.9,12.308456038449862,12.082842414532353,438158,2.9880483067751817,1.499168108307962,1.6513107143998285,723535,5.684936793662861,202.0,7650.0,7.0,398719.0,24177.0,1.0,7185.0,2103.0,20878.0,557.0,385460.0,20945.0,78.0,7254.0
2014-03-25,Tuesday,11.986544333265444,5473307.86,12.647708985257044,12.19728910847289,456621,2.8366619800666197,1.5160232446602326,1.6572803265728033,756749,5.841182002196188,200.0,7337.0,6.0,421817.0,19364.0,2.0,7624.0,2101.0,21532.0,493.0,404127.0,19553.0,85.0,7685.0
2014-03-26,Wednesday,11.957093589617203,5943309.24,12.738109686515319,12.448391519616619,497053,2.779107016756764,1.5231076967647312,1.662726107678658,826463,5.961422418653686,177.0,8385.0,1.0,460698.0,19085.0,2.0,8478.0,2073.0,23716.0,648.0,439982.0,21050.0,94.0,8509.0
2014-03-27,Thursday,12.530141723976632,6294955.25,12.652006223554965,13.336423659145874,502385,2.9081902923057017,1.5853143107377807,1.6728445315843428,840412,6.002629613662382,174.0,8707.0,5.0,463157.0,21531.0,5.0,8512.0,2222.0,24810.0,666.0,441226.0,23621.0,97.0,8581.0
